1.1.1.37	Malate dehydrogenase (EC 1.1.1.37)
1.3.8.2	"Dehydrosqualene desaturase (EC 1.3.8.2) (4,4'-diapophytoene desaturase) (Diapophytoene desaturase)"
1.3.1.9	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI (ENR) (EC 1.3.1.9) (NADH-dependent enoyl-ACP reductase)
1.11.2.4	Fatty-acid peroxygenase (EC 1.11.2.4) (Cytochrome P450 152A1) (Cytochrome P450BsBeta) (Fatty acid beta-hydroxylase)
1.14.99.3	Heme-degrading monooxygenase HmoA (EC 1.14.99.3) (Heme oxygenase)
1.4.3.19	Glycine oxidase (GO) (EC 1.4.3.19)
1.7.1.13	NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.13) (7-cyano-7-carbaguanine reductase) (NADPH-dependent nitrile oxidoreductase) (PreQ(0) reductase)
1.1.1.283	Glyoxal reductase (GR) (EC 1.1.1.-) (Methylglyoxal reductase) (EC 1.1.1.283)
1.1.1.371	scyllo-inositol 2-dehydrogenase (NADP(+)) (EC 1.1.1.371)
1.2.1.59	Glyceraldehyde-3-phosphate dehydrogenase 2 (GAPDH) (EC 1.2.1.59) (NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase)
1.14.13.165	Nitric oxide synthase oxygenase (EC 1.14.13.165) (NOSoxy-like protein)
1.1.1.169	Probable 2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase) (KPA reductase)
1.14.15.13	Pulcherriminic acid synthase (EC 1.14.15.13) (CYP134A1) (Cyclo-L-leucyl-L-leucyl dipeptide oxidase) (Cytochrome P450 CypX)
1.2.1.71	N-succinylglutamate 5-semialdehyde dehydrogenase (EC 1.2.1.71) (Succinylglutamic semialdehyde dehydrogenase) (SGSD)
1.8.1.14	Coenzyme A disulfide reductase (CoA-disulfide reductase) (CoADR) (EC 1.8.1.14)
1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase)
1.11.1.6	Catalase (EC 1.11.1.6)
1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase)
1.1.1.302	"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (DAROPP reductase) (DARP reductase) (EC 1.1.1.302) (2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one reductase) (2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate synthase) (DARIPP synthase) (AaeRED)"
1.1.1.25	Shikimate dehydrogenase (NADP(+)) (SD) (SDH) (EC 1.1.1.25)
1.17.7.3	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) (EC 1.17.7.3) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)
1.1.1.49	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)
1.1.1.18	Inositol 2-dehydrogenase (EC 1.1.1.18) (Myo-inositol 2-dehydrogenase) (MI-dehydrogenase)
1.3.1.12	Prephenate dehydrogenase (PDH) (EC 1.3.1.12)
1.17.4.1	Ribonucleoside-diphosphate reductase subunit beta (EC 1.17.4.1) (Ribonucleotide reductase small subunit)
1.14.12.1	"Anthranilate 1,2-dioxygenase large subunit (EC 1.14.12.1)"
1.18.1.3	"Anthranilate 1,2-dioxygenase electron transfer component [Includes: Ferredoxin; Ferredoxin--NAD(+) reductase (EC 1.18.1.3)]"
1.1.1.30	D-beta-hydroxybutyrate dehydrogenase (BDH) (EC 1.1.1.30) (3-hydroxybutyrate dehydrogenase) (3-HBDH)
1.1.1.44	"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"
1.3.5.4	Fumarate reductase flavoprotein subunit (EC 1.3.5.4)
1.4.1.4	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)
1.17.1.8	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)
1.14.11.33	Alpha-ketoglutarate-dependent dioxygenase AlkB (EC 1.14.11.33) (Alkylated DNA repair protein AlkB) (DNA oxidative demethylase AlkB)
1.1.1.86	Ketol-acid reductoisomerase (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (Alpha-keto-beta-hydroxylacyl reductoisomerase)
1.8.1.7	Glutathione reductase (GR) (GRase) (EC 1.8.1.7)
1.1.1.23	Histidinol dehydrogenase (HDH) (EC 1.1.1.23)
1.6.1.2	NAD(P) transhydrogenase subunit alpha (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit alpha) (Pyridine nucleotide transhydrogenase subunit alpha)
1.2.5.1	Pyruvate dehydrogenase [ubiquinone] (EC 1.2.5.1) (Pyruvate oxidase) (POX) [Cleaved into: Alpha-peptide]
1.2.1.41	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)
1.13.11.1	"Catechol 1,2-dioxygenase (EC 1.13.11.1) (1,2-CTD)"
1.1.1.42	Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)
1.3.1.98	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase)
1.11.1.15	Alkyl hydroperoxide reductase subunit C (EC 1.11.1.15) (Peroxiredoxin) (Thioredoxin peroxidase)
1.15.1.1	Superoxide dismutase [Mn] 1 (EC 1.15.1.1)
1.97.1.12	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PsaA)
1.10.3.9	Photosystem II protein D1 1 (PSII D1 protein 1) (EC 1.10.3.9) (Photosystem II Q(B) protein 1)
1.1.1.282	Quinate/shikimate dehydrogenase (EC 1.1.1.282) (NAD-dependent shikimate 5-dehydrogenase)
1.4.99.1	D-amino acid dehydrogenase (EC 1.4.99.1) (D-alanine dehydrogenase)
1.2.1.70	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)
1.8.4.11	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)
1.6.5.2	Glutathione-regulated potassium-efflux system ancillary protein KefF (Quinone oxidoreductase KefF) (EC 1.6.5.2)
1.3.5.2	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)
1.16.3.2	Bacterial non-heme ferritin (EC 1.16.3.2) (Ferritin-1)
1.2.1.72	D-erythrose-4-phosphate dehydrogenase (E4PDH) (EC 1.2.1.72)
1.7.1.15	Nitrite reductase (NADH) small subunit (EC 1.7.1.15)
1.5.1.2	Pyrroline-5-carboxylate reductase (P5C reductase) (P5CR) (EC 1.5.1.2) (PCA reductase)
1.8.1.4	Dihydrolipoyl dehydrogenase (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes) (Glycine cleavage system L protein)
1.8.1.9	Thioredoxin reductase (TRXR) (EC 1.8.1.9)
1.2.1.11	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)
1.1.1.251	Galactitol-1-phosphate 5-dehydrogenase (EC 1.1.1.251)
1.1.1.6	Glycerol dehydrogenase (GDH) (GLDH) (EC 1.1.1.6)
1.1.1.95	D-3-phosphoglycerate dehydrogenase (PGDH) (EC 1.1.1.95)
1.1.1.373	3-sulfolactaldehyde reductase (SLA reductase) (EC 1.1.1.373)
1.10.3.10	Cytochrome bo(3) ubiquinol oxidase subunit 1 (EC 1.10.3.10) (Cytochrome b562-o complex subunit I) (Cytochrome o ubiquinol oxidase subunit 1) (Cytochrome o subunit 1) (Oxidase bo(3) subunit 1) (Ubiquinol oxidase chain A) (Ubiquinol oxidase polypeptide I) (Ubiquinol oxidase subunit 1)
1.10.3.14	Cytochrome bd-I ubiquinol oxidase subunit 1 (EC 1.10.3.14) (Cytochrome bd-I oxidase subunit I) (Cytochrome d ubiquinol oxidase subunit I)
1.1.1.60	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60) (Tartronate semialdehyde reductase) (TSAR)
1.5.1.3	Dihydrofolate reductase (EC 1.5.1.3)
1.14.12.19	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)
1.13.11.16	"2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase (EC 1.13.11.16) (3-carboxyethylcatechol 2,3-dioxygenase)"
1.3.5.1	Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1)
1.12.99.6	HyaB Hydrogenase-1 large chain
1.1.1.205	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)
1.1.1.159	7-alpha-hydroxysteroid dehydrogenase (7-alpha-HSDH) (EC 1.1.1.159)
1.5.1.20	"5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)"
1.4.3.5	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx) (Pyridoxal 5'-phosphate synthase)
1.20.4.3	Mycoredoxin 1 (EC 1.20.4.3)
1.4.3.16	L-aspartate oxidase (LASPO) (EC 1.4.3.16) (Quinolinate synthase B)
1.1.1.132	GDP-mannose 6-dehydrogenase (GMD) (EC 1.1.1.132)
1.14.13.25	Methane monooxygenase component A gamma chain (EC 1.14.13.25) (Methane hydroxylase)
1.1.1.343	"6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating (EC 1.1.1.343)"
1.12.2.1	HydA Periplasmic [NiFe] hydrogenase small subunit
1.11.1.21	Catalase-peroxidase (CP) (EC 1.11.1.21) (Hydroperoxidase I) (HPI) (Peroxidase/catalase)
1.11.1.5	Cytochrome c551 peroxidase (CCP) (Cytochrome c peroxidase) (EC 1.11.1.5)
1.1.1.36	Acetoacetyl-CoA reductase (EC 1.1.1.36)
1.3.1.28	"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (DiDHB-DH) (EC 1.3.1.28) (Trans-2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase)"
1.1.2.7	Methanol dehydrogenase [cytochrome c] subunit 1 (EC 1.1.2.7) (MDH large subunit alpha) (MEDH)
1.3.99.28	Phytoene desaturase (neurosporene-forming) (EC 1.3.99.28) (3-step phytoene desaturase) (Phytoene dehydrogenase)
1.14.15.9	Spheroidene monooxygenase (EC 1.14.15.9)
1.2.1.8	NAD/NADP-dependent betaine aldehyde dehydrogenase (BADH) (EC 1.2.1.8)
1.8.1.2	Sulfite reductase [NADPH] hemoprotein beta-component (SiR-HP) (SiRHP) (EC 1.8.1.2)
1.8.5.3	Dimethyl sulfoxide reductase DmsA (DMSO reductase) (DMSOR) (Me2SO reductase) (EC 1.8.5.3)
1.12.98.1	FrhG Coenzyme F420 hydrogenase subunit gamma
1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)
1.2.99.2	Carbon monoxide dehydrogenase large chain (CO dehydrogenase subunit L) (CO-DH L) (EC 1.2.99.2)
1.8.4.13	Biotin sulfoxide reductase (BDS reductase) (BSO reductase) (EC 1.-.-.-) (L-methionine-(S)-sulfoxide reductase) (Met-S-SO reductase) (EC 1.8.4.13)
1.13.11.3	"Protocatechuate 3,4-dioxygenase alpha chain (EC 1.13.11.3) (3,4-PCD)"
1.14.19.6	Delta(12)-fatty-acid desaturase (EC 1.14.19.6)
1.15.1.2	Desulfoferrodoxin (Dfx) (EC 1.15.1.2) (Superoxide reductase) (SOR)
1.14.13.2	p-hydroxybenzoate hydroxylase (PHBH) (EC 1.14.13.2) (4-hydroxybenzoate 3-monooxygenase)
1.2.1.5	Aldehyde dehydrogenase PuuC (EC 1.2.1.5) (3-hydroxypropionaldehyde dehydrogenase) (Gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase) (Gamma-Glu-gamma-aminobutyraldehyde dehydrogenase)
1.1.5.6	"Formate dehydrogenase, nitrate-inducible, major subunit (EC 1.1.5.6) (Anaerobic formate dehydrogenase major subunit) (Formate dehydrogenase-N subunit alpha) (FDH-N subunit alpha)"
1.13.11.29	"4,5-DOPA dioxygenase extradiol (EC 1.13.11.29)"
1.2.1.79	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD (SSDH) (EC 1.2.1.79)
1.3.1.1	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA (DPD) (EC 1.3.1.1) (Dihydrothymine dehydrogenase) (Dihydrouracil dehydrogenase)
1.3.7.7	Light-independent protochlorophyllide reductase subunit B (DPOR subunit B) (LI-POR subunit B) (EC 1.3.7.7)
1.3.5.5	15-cis-phytoene desaturase (EC 1.3.5.5) (Phytoene dehydrogenase)
1.1.1.28	D-lactate dehydrogenase (D-LDH) (EC 1.1.1.28) (D-specific 2-hydroxyacid dehydrogenase)
1.3.1.84	Probable acrylyl-CoA reductase AcuI (EC 1.3.1.84) (Acryloyl-coenzyme A reductase AcuI)
1.1.1.2	Aldehyde reductase Ahr (EC 1.1.1.2) (Zinc-dependent alcohol dehydrogenase Ahr)
1.1.1.336	UDP-N-acetyl-D-mannosamine dehydrogenase (EC 1.1.1.336) (UDP-ManNAc 6-dehydrogenase)
1.1.1.85	3-isopropylmalate dehydrogenase (EC 1.1.1.85) (3-IPM-DH) (Beta-IPM dehydrogenase) (IMDH)
1.14.16.1	Phenylalanine-4-hydroxylase (PAH) (EC 1.14.16.1) (Phe-4-monooxygenase)
1.1.1.271	"GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase)"
1.3.99.22	Oxygen-independent coproporphyrinogen-III oxidase (CPO) (EC 1.3.99.22) (Coproporphyrinogen III dehydrogenase) (CPDH)
1.3.3.4	Protoporphyrinogen oxidase (PPO) (EC 1.3.3.4)
1.3.1.91	tRNA-dihydrouridine(20/20a) synthase (EC 1.3.1.-) (EC 1.3.1.91) (U20-specific dihydrouridine synthase) (U20-specific Dus) (tRNA-dihydrouridine synthase A)
1.7.99.4	Periplasmic nitrate reductase (EC 1.7.99.4)
1.3.3.3	Oxygen-dependent coproporphyrinogen-III oxidase (CPO) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)
1.8.1.8	Thiol:disulfide interchange protein DsbD (EC 1.8.1.8) (C-type cytochrome biogenesis protein CycZ) (Inner membrane copper tolerance protein) (Protein-disulfide reductase) (Disulfide reductase)
1.11.1.1	NADH peroxidase (NPXase) (Npx) (EC 1.11.1.1)
1.2.3.3	Pyruvate oxidase (EC 1.2.3.3) (Pyruvic oxidase) (POX)
1.14.12.18	"Biphenyl dioxygenase subunit alpha (EC 1.14.12.18) (Biphenyl 2,3-dioxygenase)"
1.1.3.15	L-2-hydroxyglutarate oxidase LhgO (EC 1.1.3.15)
1.14.11.17	Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17) (2-aminoethanesulfonate dioxygenase) (Sulfate starvation-induced protein 3) (SSI3)
1.1.1.130	"2,3-diketo-L-gulonate reductase (2,3-DKG reductase) (EC 1.1.1.130) (3-dehydro-L-gulonate 2-dehydrogenase)"
1.1.1.127	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (EC 1.1.1.127) (2-deoxy-D-gluconate 3-dehydrogenase) (2-keto-3-deoxygluconate 5-dehydrogenase) (2-keto-3-deoxygluconate oxidoreductase) (KDG oxidoreductase) (20-ketosteroid reductase) (EC 1.1.1.-)
1.5.1.34	Oxygen-insensitive NAD(P)H nitroreductase (EC 1.-.-.-) (Dihydropteridine reductase) (EC 1.5.1.34) (FMN-dependent nitroreductase)
1.1.1.264	L-idonate 5-dehydrogenase (NAD(P)(+)) (EC 1.1.1.264)
1.5.1.38	FMN reductase (NADPH) (EC 1.5.1.38) (NADPH-dependent FMN reductase) (NADPH-dependent nitro/flavin reductase) (NADPH-dependent nitroreductase) (NADPH-dependent oxidoreductase)
1.14.12.17	Flavohemoprotein (FHP) (Flavohemoglobin) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD) (EC 1.14.12.17)
1.1.1.298	NADP-dependent 3-hydroxy acid dehydrogenase YdfG (EC 1.1.1.-) (Malonic semialdehyde reductase) (EC 1.1.1.298)
1.1.1.370	scyllo-inositol 2-dehydrogenase (NAD(+)) (EC 1.1.1.370)
1.13.11.24	"Quercetin 2,3-dioxygenase (Quercetinase) (EC 1.13.11.24) (Flavonol 2,4-dioxygenase)"
1.18.1.1	Rubredoxin-NAD(+) reductase (RdxR) (EC 1.18.1.1)
1.3.1.34	"2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34) (2,4-dienoyl coenzyme A reductase)"
1.4.3.21	Primary amine oxidase (EC 1.4.3.21) (2-phenylethylamine oxidase) (Copper amine oxidase) (Tyramine oxidase)
1.3.1.56	"Cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase (EC 1.3.1.56) (2,3-dihydro-2,3-dihydroxybiphenyl dehydrogenase) (2,3-dihydroxy-4-phenylhexa-4,6-diene dehydrogenase) (Biphenyl-2,3-dihydro-2,3-diol dehydrogenase) (Biphenyl-cis-diol dehydrogenase)"
1.14.13.154	Erythromycin C-12 hydroxylase (EC 1.14.13.154) (Cytochrome P450 113A1) (CYP113A1) (Erythromycin D C-12 hydroxylase)
1.14.15.12	Biotin biosynthesis cytochrome P450 (EC 1.14.15.12)
1.8.4.12	Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)
1.3.1.14	"Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit (DHOD B) (DHODase B) (DHOdehase B) (EC 1.3.1.14) (Dihydroorotate oxidase B) (Orotate reductase (NADH))"
1.6.99.1	NADPH dehydrogenase (EC 1.6.99.1) (Xenobiotic reductase)
1.13.11.2	"Catechol-2,3-dioxygenase (EC 1.13.11.2) (Catechol-induced ring cleavage extradiol dioxygenase)"
1.4.7.1	Ferredoxin-dependent glutamate synthase 2 (EC 1.4.7.1) (FD-GOGAT)
1.1.1.290	Erythronate-4-phosphate dehydrogenase (EC 1.1.1.290)
1.17.1.2	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)
1.14.13.141	Steroid C26-monooxygenase (EC 1.14.13.141) (Cholest-4-en-3-one 26-monooxygenase) (Cytochrome P450 125) (Steroid C27-monooxygenase)
1.1.1.1	Alcohol dehydrogenase (EC 1.1.1.1)
1.3.1.104	Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL (ENR) (EC 1.3.1.104) (Enoyl-acyl carrier protein reductase III) (NADPH-dependent enoyl-ACP reductase)
1.11.1.22	Hydroperoxy fatty acid reductase gpx2 (EC 1.11.1.22)
1.1.1.184	Aldo/keto reductase slr0942 (AKR) (EC 1.1.1.184) (AKR3G1)
1.7.99.1	Hydroxylamine reductase (EC 1.7.99.1) (Hybrid-cluster protein) (HCP) (Prismane protein)
1.5.1.42	FMN reductase (NADH) RutF (EC 1.5.1.42) (FMN reductase) (NADH-flavin reductase RutF) (NADH:flavin oxidoreductase)
1.14.99.46	Pyrimidine monooxygenase RutA (EC 1.14.99.46)
1.14.13.149	"1,2-phenylacetyl-CoA epoxidase, subunit A (EC 1.14.13.149) (1,2-phenylacetyl-CoA epoxidase, catalytic subunit alpha) (1,2-phenylacetyl-CoA monooxygenase, subunit A)"
1.3.1.n3	NADPH-dependent curcumin reductase (EC 1.3.1.n3) (NADPH-dependent curcumin/dihydrocurcumin reductase)
1.2.1.16	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad (SSADH) (SSDH) (EC 1.2.1.16)
1.1.1.83	D-malate dehydrogenase [decarboxylating] (EC 1.1.1.83) (D-malate degradation protein A) (D-malate oxidase)
1.8.4.14	Free methionine-R-sulfoxide reductase (fRMsr) (EC 1.8.4.14)
1.14.13.127	3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase (3-HCI hydroxylase) (3-HPP hydroxylase) (EC 1.14.13.127)
1.1.1.350	Ureidoglycolate dehydrogenase (NAD(+)) (EC 1.1.1.350)
1.2.1.10	Acetaldehyde dehydrogenase (EC 1.2.1.10) (Acetaldehyde dehydrogenase [acetylating])
1.2.1.19	Gamma-aminobutyraldehyde dehydrogenase (EC 1.2.1.19) (1-pyrroline dehydrogenase) (4-aminobutanal dehydrogenase) (ABALDH)
1.9.3.1	Cytochrome c oxidase polypeptide 2A (EC 1.9.3.1) (Cytochrome c ba(3) subunit IIA) (Cytochrome c oxidase polypeptide IIA) (Cytochrome cba3 subunit 2A)
1.5.1.39	FMN reductase [NAD(P)H] (EC 1.5.1.39) (NAD(P)H-dependent FMN reductase) (NAD(P)H-dependent nitro/flavin reductase) (NAD(P)H-dependent nitroreductase) (NAD(P)H-dependent oxidoreductase)
1.1.1.261	Glycerol-1-phosphate dehydrogenase [NAD(P)+] (G1P dehydrogenase) (G1PDH) (EC 1.1.1.261) (Arabinose operon protein AraM) (Enantiomeric glycerophosphate synthase) (sn-glycerol-1-phosphate dehydrogenase)
